Short description,,Number,Priority,IT service(u_it_service),Created Month
OneERP , Modify user : S/4 HANA & MDG ,RITM0186133,Low,,August 2024
OneERP , New user : S/4 HANA & MDG ,RITM0186193,Low,,August 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0183842,Low,,July 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0184560,Low,,July 2024
OneERP , New user : OneERP Esker ,RITM0193355,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193354,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193351,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193372,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193352,Low,,November 2024
OneERP – Other requests , S/4 HANA ,RITM0193475,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193572,Low,,November 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0193542,Low,,November 2024
OneERP – Other requests , MDG ,RITM0193536,Low,,November 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0193110,Low,,November 2024
OneERP , New user : S/4 HANA & MDG ,RITM0193058,Low,,November 2024
OneERP , New user : S/4 HANA & MDG ,RITM0193533,Low,,November 2024
OneERP – Other requests , S/4 HANA ,RITM0193444,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193501,Low,,November 2024
OneERP , New user : OneERP Esker ,RITM0193566,Low,,November 2024
OneERP – Other requests , S/4 HANA ,RITM0193571,Low,,November 2024
OneERP – Other requests , MDG ,RITM0193419,Low,,November 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0193111,Low,,November 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0193113,Low,,November 2024
OneERP , Modify user : OneERP Esker ,RITM0191347,Low,,October 2024
OneERP , New user : S/4 HANA & MDG ,RITM0191834,Low,,October 2024
OneERP , New user : OneERP Esker ,RITM0190541,Low,,October 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0191894,Low,,October 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188267,Low,,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188325,Low,,September 2024
OneERP , New user : OneERP Esker ,RITM0188270,Low,,September 2024
OneERP , Modify user : OneERP Esker ,RITM0188737,Low,,September 2024
OneERP , Modify user : OneERP Esker ,RITM0189352,Low,,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188738,Low,,September 2024
OneERP , Modify user : OneERP Esker ,RITM0189878,Low,,September 2024
Please unlock the below user in production system. ,,RITM0188611,Low,Account Unlock (AD),September 2024
Line Manager Change ,,RITM0185442,Low,Active Directory Domain Services,July 2024
FFID Request for PRD ,,RITM0193052,Low,Azure  - Mundi-Prd,October 2024
Missing receipt affidavit not accepted for Hotel Tax expense claim (6.25 Euro's) ,,RITM0186450,Low,Bard Homepage Site Collection,August 2024
My CC transactions are not pulling through to egencia ,,RITM0182603,Low,Credit Request App,June 2024
Change Concur default option for Receipt Status field ,,RITM0179446,Low,Email,May 2024
Changing email addresses for UK and Northern Ireland sale sand stock reports from Oracle ,,RITM0190450,Low,Email,October 2024
OneERP – Other requests ,,RITM0192038,Low,File Shares and Servers,October 2024
Looking for extra details on the transactions please. ,,RITM0189293,High,Finance Portal - Web Application,September 2024
OneERP – Other requests , Concur ,RITM0181584,Low,Global Cash Balance Reporting,June 2024
Please can you grant access to Tracy Beales to clear Isabel Bromberg's expenses whilst on maternity leave ,,RITM0190952,High,Office 365,October 2024
Create additional fields ,,RITM0179373,Low,OneSource,May 2024
PO List ,,RITM0186097,Low,Oracle EBS - General Ledger,August 2024
lost receipt/no receipt ,,RITM0185733,Low,Other,July 2024
One ERP , W5 ,RITM0183680,Low,Other,July 2024
OneERP – Other requests , S/4 HANA ,RITM0183895,Low,Other,July 2024
Requesting UAT access for Korean and Japan Business Users to support Anaplan Phase 4 ,,RITM0184921,Low,Other,July 2024
Need access to the Sales report , VA05 in PS4 400 System ,RITM0183318,Low,Other,July 2024
Add the document type ZANB to the role ZM2H:PTP_DIS ,,RITM0181598,Low,Other,June 2024
Assigning Juan as Manager/approver in Concur in place of Javier Barreiro. Also redirecting the pending expenses for Approval in Javiers profile to Juan. ,,RITM0179097,Low,Other,May 2024
Can't connect to ESKER account ,,RITM0188779,Low,Password reset,September 2024
Data set from each SAP country ,,RITM0187766,Low,SAP - AU,August 2024
Switching Family Nam into MEIER ,,RITM0186769,Low,SAP - AU,August 2024
Need FF access to configure REINF setup in SAP & FIori ,,RITM0186777,Low,SAP - AU,August 2024
"SAP (FB03, SE16N, FTXP) ",,RITM0182086,Low,SAP - AU,June 2024
Supply Chain ,,RITM0180599,Low,SAP - AU,May 2024
Duplicate invoice posting ,,RITM0179792,Low,SAP - AU,May 2024
ANERAM 20MG FG setup and semi FG Pricing Update in SAP PS4 System ,,RITM0192263,Low,SAP - AU,October 2024
Need access to new document type ZANA , in SAP QS4 and PS4 System ,RITM0191219,Low,SAP - AU,October 2024
Need access to 'Manage Automatic payments' in SAP ,,RITM0184587,Low,SAP - Cyprus - Production,July 2024
SAP report program implementation ,,RITM0179971,Low,SAP - Cyprus - Production,May 2024
"Again a problem with pay out ""September expenses"" from SAP concure ",,RITM0192442,Low,SAP CPI - Development,October 2024
Please can i have access to ," Manage Automatic Payments, so i can create the XML file ",RITM0189622,Low,SAP CPI - Development,September 2024
OneERP – Other requests , S/4 HANA ,RITM0186665,Low,SAP CPI - Production,August 2024
OneERP , Modify user : OneERP Esker ,RITM0183628,Low,SAP CPI - Production,July 2024
"We have this new customer:  10034812, CENTRO PENITENCIARIO DE BURGOS / 09001 BURGOS","CAST, that needs to update the conditions records. ",RITM0181799,Low,SAP CPI - Production,June 2024
OneERP – Other requests , S/4 HANA ,RITM0180627,Low,SAP CPI - Production,May 2024
OneERP , Delete user : OneERP Esker ,RITM0190214,Low,SAP CPI - Production,September 2024
ABAP Programming error ,,RITM0187090,Low,SAP ERP - CH - Production,August 2024
PS4 Client open request for SPED Red book activities  ,,RITM0186483,Low,SAP ERP - CH - Production,August 2024
Release batch jobs for ZA ,,RITM0186919,Low,SAP ERP - CH - Production,August 2024
OneERP – Other requests , S/4 HANA ,RITM0183822,Low,SAP ERP - CH - Production,July 2024
OneERP – Other requests , S/4 HANA ,RITM0181994,Low,SAP ERP - CH - Production,June 2024
OneERP – Other requests , S/4 HANA ,RITM0179839,Low,SAP ERP - CH - Production,May 2024
OneERP , Modify user : OneERP Esker ,RITM0190673,Low,SAP ERP - CH - Production,October 2024
OneERP – Other requests , MDG ,RITM0186452,Low,SAP MDG - Production,August 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0184804,Low,SAP MDG - Production,July 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0182383,Low,SAP MDG - Production,June 2024
SAP Account Creation for SnapLogic Connectivity ,,RITM0185860,Low,SAP S/4Hana - Development,August 2024
OneERP , New user : S/4 HANA & MDG ,RITM0182006,Low,SAP S/4Hana - Development,June 2024
OneERP – Other requests , Concur ,RITM0190548,Low,SAP S/4Hana - Development,October 2024
OneERP – Other requests , S/4 HANA ,RITM0192010,Low,SAP S/4Hana - Development,October 2024
OneERP Change Request form  ,,RITM0186630,Low,SAP S/4Hana - Production,August 2024
OneERP – Other requests , S/4 HANA ,RITM0186371,Low,SAP S/4Hana - Production,August 2024
OneERP – Change Approver ,,RITM0187069,Low,SAP S/4Hana - Production,August 2024
OneERP Change Request form  ,,RITM0185935,Low,SAP S/4Hana - Production,August 2024
OneERP Change Request form  ,,RITM0187455,Low,SAP S/4Hana - Production,August 2024
OneERP Change Request form  ,,RITM0186635,Low,SAP S/4Hana - Production,August 2024
OneERP , New user : Concur ,RITM0187774,Low,SAP S/4Hana - Production,August 2024
OneERP – Change Approver ,,RITM0186744,Low,SAP S/4Hana - Production,August 2024
OneERP – Change Approver ,,RITM0187279,Low,SAP S/4Hana - Production,August 2024
OneERP – Other requests ,,RITM0186414,Low,SAP S/4Hana - Production,August 2024
OneERP – Change Approver ,,RITM0185856,Low,SAP S/4Hana - Production,August 2024
OneERP , Modify user : OneERP Esker ,RITM0186883,Low,SAP S/4Hana - Production,August 2024
