Number,Opened,Short description,Assignment group,Created Month,Functional Area,IAC affected,OneERP Country / Entities Impacted
INC0262076,22-08-2024 23:58,SAP: Supplier not receiving remittance advise even though email address is updated in supplier master,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Australia
INC0261184,12-08-2024 23:32,Denmark Payment Failed for vendor ALM Brand Forsikring BDO Statoriseret,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Denmark
INC0262666,30-08-2024 18:19,"Wave 5 SAP, EG, stock, destruction - discussion and action with Tim Harris",L2 - OneERP - Business Support,Aug-24,Supply Chain,,France
INC0259942,02-08-2024 06:36,OneERP w5 Hypercare FI Anaplan Central PO created on the wrong material,L2 - OneERP - Business Support,Aug-24,Order to Cash,,Finland
INC0260515,07-08-2024 18:15,IDoc: 0000000000782975 Status: Error passing data to port,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,France
INC0260419,07-08-2024 01:53,While performing the COGS Submission i found the difference in SAP TB and the FND.,L2 - OneERP - Business Support,Aug-24,Record to Report,,Norway
INC0262646,30-08-2024 16:24,"Hi, as we have told in the meeting and to be aligned with movianto stock we need to move 9 units  of Pelmeg from storage location 1015 to storage location 1012 after Movianto send confirmation.",L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Spain
INC0261811,20-08-2024 11:40,"SAP, Supply chain, handover to iNova 31 AUG: closing open orders NWA",L2 - OneERP - Business Support,Aug-24,Supply Chain,,Multiple
INC0262123,23-08-2024 16:12,SAP PO 4500006189,L2 - OneERP - Business Support,Aug-24,Order to Cash,,Spain
INC0260760,09-08-2024 15:48,W5 - Incorrect name of account 44007014 in QS4-600,L2 - OneERP - Business Support,Aug-24,Record to Report,,Multiple
INC0261541,16-08-2024 15:10,OneERP - Hypercare - PGI failed for Delivery (Sweden),L2 - OneERP - Business Support,Aug-24,Supply Chain,,Sweden
INC0261351,14-08-2024 10:35,Please cancel return orders 60013181 and 60013183,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Korea
INC0259986,02-08-2024 17:45,"OneERP Wave 5 Hypercare MEA/MNE - Please cancel invoices 90141294, 90141295, 90141298 & 90141414",L2 - OneERP - Business Support,Aug-24,Order to Cash,,UAE
INC0260115,03-08-2024 22:34,"OneERP wave 5 Hypercare-CH06-Unable to post the JE, Kindly find the attached error details.",L2 - OneERP - Business Support,Aug-24,Record to Report,,Switzerland
INC0260355,06-08-2024 19:52,W5 - NL01 - Bank details mismatch,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Netherlands
INC0262555,29-08-2024 15:04,W2_ONE ERP_SAP code de-activation from local,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Service Entities
INC0260635,08-08-2024 15:35,"Post automatically only check box not ticked for GL 13600000 for Sweden, Norway, Netherlands ",L2 - OneERP - Business Support,Aug-24,Supply Chain,,Sweden
