prompt,response
Pricing Error in Sales Order,"Issue : Pricing error in sales order # 735939 with MWST tax is missing with incomplete data.

RCA/Solution : Maintained Tax classification 01 at Header level >> Billing document >> alternative tax classification as 01 >> Go to conditions tax and click on update as ""G"" , MWST will be activated and SO : 731122 will create without any errors. User tested and confirmed on the closure of ticket through email we are going ahead and closing this ticket.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
SR-S&L-044 - PO cancellation in ERP,"""Issue/Request: PO closure request 

Root Cause: As requested by user

Solution/Action: PO closed in Pmax using FFID

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] Invoice plan to be modified ,"Actual Issue: Invoice plan to be modified 
I want to modify the invoice Plan of PO # 4102414594  Line 10. Can you reset the existing invoice plan ?

Resolution or Suggested steps: We have guided user on the invoice plan changes at the po line item level.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
NSCI - Receiving issue,"""Issue/Request: Not possible to receive goods 

Root Cause: User selected material doc instead of PO

Solution/Action: Guided user and GR posted successfully 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - Remove Vendor to ZEXCEPTION_LTL Table,"Issue/Request: Remove Vendor to ZEXCEPTION_LTL Table
Solution: User has confirmed to close the request since vendor not exist in concern table.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI]-PO cannot be created for PR 28909671/ 10  on SO 660041 line 40050. ,
Tax code change,"Issue/Request: Tax code update in PO
Solution: GR & IR postings exist for line-30 of PO: 4200179597, hence system will not allow to update Tax code. These GR's and IR""s should be reverse and GR & IR values should be zero(0), then only system will allow to update the tax code.

Closing the ticket as user confirmed, attached closure confirmation
"
"NSCI# Dear team,I cannot close OBD in VLPOD because it's blank OBD:80754896 ",
NSCI # Cannot book PGI 1 and 2 on OBD 80751242 and OBD 80751241,"Request:  Cannot book PGI 1 and 2 on OBD 80751242 and OBD 80751241
Resolution or Suggested steps:  PGI1 and PGI2 posted for both OBD's  80751242 and 80751241.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
NSCI - unable to do GR,"""Issue/Request: Unable to post GR

Root Cause: GR should be posted with reference to Inbound delivery

Solution/Action: GR posted successfully 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - Maintain releaser,"Issue/Request: Approver/user not available in table
Solution: User: 212523410 available in table: ZMMBESTFREIWF for release group: HI, release code: A2

Closing the ticket as user confirmed, attached closure confirmation
"
"Need join condition to pull data from ""dd07t"" table ","issue : We would like to understand how to pull data from the ddo7t table. Could you please help us with the joining conditions? Below is the query we are using.

SELECT ddtext shipment_priority 
????FROM ing_pmx_ecc.dd07t dt 
????where domname = 'ZOSIP_PRIORITY'
????and hvr_is_deleted = 0;

RCA : Condition joint is needed in Data lake for mentioned DD07T table 

Solution : They are merging the tables to derive in to a ew report in Data lake system - By using below all tables ing_pmx_ecc.zosip_headerdata
ing_pmx_ecc.hrp1000 
ing_pmx_ecc.ZOSIP_POS_WF
ing_pmx_ecc.SWWWIRET
ing_pmx_ecc.SWWWIHEAD

Given POC as well as merging field value for ZOSIP_POS_WF / .zosip_headerdata hence agreed on closure of the ticket. in call / Teams chat & tickets notes.

Closure feedback Link : https://app.sc.ge.com/surveys/create/569816"
Markup to PO 4102179019 Item 10 was wrongly booked (has minus value). Please advise how it should be corrected,"Issue/Request: Markup to PO 4102179019 Item 10 was wrongly booked
Root cause: Business requirement
Solution: Suggested user to cancel both IR, GR and then system allows to price update.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI] - Item for purchase order with problem,"Issue/Request: Unable to amend PO.
Solution: Concern PO line item is created with wrong material. so suggested user to use correct material.
Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Changes]
"
[NSCI] - Unable to cancel GR for PO line because of deficit of PU IR quantity error ,"Issue/Request: Unable to cancel GR for PO line because of deficit of PU IR quantity error 
Solution: Conneted and explained user to cancel the GR's

Closing the ticket as user confirmed, attached closure confirmation
"
Need PMx PE1 support for GE Gas Power,"Provided the  LDA user's list for plant: 50A2.

As L2 support team, we are not authorized to create/update the material master data.
As Per L2 guidelines we are closing this request since no pending action from our end 
"
